Donald Trump And Sarah Palin Are: Dumb And Dumber https://t.co/d2rxIKmXXg via @HuffPostUKCom	neutral
	
#WEF16 Donald Trump for President 2016 - Republican - Bumper Sticker Vinyl Decal  #sgp #nra #gop #tpp #nra https://t.co/PeZLtM0Y8s	neutral
	
RT @trevytrevvv: If you saw Donald Trump getting jumped by 38 people, what would you do?	neutral
	
Donald Trump Adds His Two Cents To Oscars Controversy https://t.co/UsmnJfo86F #Linkedin	positive
	
RT @KTVN: Donald Trump received a key endorsement today from conservative heavyweight Sarah Palin https://t.co/YSZMcjmLOi https://t.co/0vT3	neutral
	
p for president and then the stock market crashes the next day. O	negative
	
#Scottish #BBC #Stillyes #Russia	
O, Wrath Of Almighty #GOD , Donald Trump desperately needs a ferocious HEARTATTACK	
N !!! O !!! W !!!	
AYE...	negative
	
RT @PueIIa: Me: I hate rock music	
	
Donald Trump: I hate rock music	
	
Me: 	
https://t.co/URmdOrOImP	neutral
	
Take ur Donald Trump supporting,Republican ass somewhere else with this garbage! https://t.co/QiWmA3HXim	negative
	
RT @TeaPartyCat: BREAKING: Sarah Palin endorses Donald Trump in 17 minute run-on sentence.	negative
	
@ManahawkinMikey @EvelynGarone @MikeandDawnNY @mitchellvii DONALD TRUMP IS THE PROGRESSIVE GLENN BECK WARNED US ABOUT IN 2005	negative
	
Donald Trump Adds His Two Cents To Oscars Controversy https://t.co/YtcJqpTC9V #movies #albums	positive
	
"Kid in my corrections class ""People hate Donald Trump but they don't realize what he really stands for."" Save me"	negative
	
RT @trevytrevvv: If you saw Donald Trump getting jumped by 38 people, what would you do?	neutral
	
